Date	High	Low	Last	Previous Day Price	Volume
2014-03-21	872.7	859.0	859.0	864.05	
2014-03-24	863.95	831.92	834.37	859.0	
2014-03-25	842.88	834.4	834.4	834.37	
2014-03-26	845.93	821.0	821.0	834.4	
2014-03-27	825.0	801.98	812.25	821.0	
2014-03-28	822.83	810.21	815.5	812.25	
2014-03-31	822.15	810.0	812.2	815.5	
2014-04-01	822.44	807.35	819.95	812.2	
2014-04-02	829.03	821.17	823.35	819.95	
2014-04-03	428.09	413.8	414.25	823.35	
2014-04-04	420.8	398.95	399.8	414.25	
2014-04-07	399.7	387.63	393.15	399.8	
2014-04-08	402.24	393.91	402.24	393.15	
2014-04-09	408.78	402.0	402.0	402.24	
2014-04-10	412.33	394.68	397.1	402.0	
2014-04-11	394.23	384.35	391.63	397.1	
2014-04-14	399.07	386.3	398.98	391.63	
2014-04-15	399.65	392.15	392.4	398.98	
2014-04-16	405.5	400.32	405.5	392.4	
2014-04-17	402.0	390.3	394.68	405.5	
2014-04-22	393.9	390.42	393.9	394.68	
2014-04-23	397.35	391.33	391.33	393.9	
2014-04-24	395.05	385.58	388.46	391.33	
2014-04-25	386.46	378.15	378.15	388.46	
2014-04-28	381.65	370.33	370.33	378.15	
2014-04-29	385.27	376.0	385.08	370.33	
2014-04-30	387.8	382.74	383.44	385.08	
2014-05-02	392.0	387.97	392.0	383.44	
2014-05-05	385.45	382.95	382.95	392.0	
2014-05-06	386.35	376.15	376.15	382.95	
2014-05-07	377.25	368.6	371.45	376.15	
2014-05-08	377.95	369.8	377.95	371.45	
2014-05-09	377.85	375.31	377.05	377.95	
2014-05-12	388.92	382.08	388.9	377.05	
2014-05-13	395.7	391.08	395.06	388.9	
2014-05-14	396.35	392.03	392.03	395.06	
2014-05-15	392.97	386.45	386.45	392.03	
2014-05-16	386.25	385.11	385.4	386.45	
2014-05-19	391.91	383.55	391.91	385.4	
2014-05-21	400.77	393.51	400.77	398.0	
2014-05-22	407.33	402.55	407.33	400.77	
2014-05-23	411.31	406.55	411.31	407.33	
2014-05-26	418.0	415.0	418.0	411.31	
2014-05-27	420.7	414.75	420.7	418.0	
2014-05-28	424.65	419.65	421.8	420.7	
2014-05-29	420.67	418.4	420.67	421.8	
2014-05-30	420.67	415.23	415.23	420.67	
2014-06-02	421.66	409.6	412.25	415.23	
2014-06-03	413.79	413.2	413.2	412.25	
2014-06-04	409.8	403.57	409.38	413.2	
2014-06-05	413.3	407.7	413.3	409.38	
2014-06-06	416.6	413.25	413.54	413.3	
2014-06-09	419.9	416.18	419.73	413.54	
2014-06-10	421.95	419.12	419.26	419.73	
2014-06-11	420.55	416.85	416.85	419.26	
2014-06-12	419.79	411.55	411.55	416.85	
2014-06-13	414.5	409.98	412.0	411.55	
2014-06-16	413.9	405.42	405.56	412.0	
2014-06-17	409.19	406.28	406.47	405.56	
2014-06-18	410.9	405.15	407.2	406.47	
2014-06-19	412.63	409.82	409.82	407.2	
2014-06-20	416.85	411.96	412.5	409.82	
2014-06-23	420.05	414.83	420.05	412.5	
2014-06-24	428.64	421.05	428.64	420.05	
2014-06-25	428.0	419.55	428.0	428.64	
2014-07-10	426.92	423.01	426.8	427.3	
2014-07-11	429.5	426.05	429.5	426.8	
2014-07-14	435.0	431.9	435.0	429.5	
2014-07-15	436.95	432.8	436.25	435.0	
2014-07-17	437.6	434.61	435.1	440.9	
2014-07-18	448.05	434.95	448.05	435.1	
2014-07-21	447.18	440.0	440.0	448.05	
2014-07-22	451.31	441.84	449.55	440.0	
2014-07-25	448.0	444.3	445.26	449.85	
2014-07-28	446.39	441.72	441.72	445.26	
2014-07-29	447.0	441.6	443.0	441.72	
2014-07-30	445.85	442.96	444.55	443.0	
2014-07-31	442.85	433.1	433.55	444.55	
2014-08-01	433.79	423.76	426.05	433.55	
2014-08-04	429.8	427.0	427.0	426.05	
2014-08-05	435.1	430.0	430.0	427.0	
2014-08-06	432.01	426.35	429.75	430.0	
2014-08-07	431.0	428.7	429.88	429.75	
2014-08-08	429.15	422.5	429.15	429.88	
2014-08-11	434.2	430.65	431.35	429.15	
2014-08-12	433.05	428.41	428.41	431.35	
2014-08-13	435.96	428.2	435.96	428.41	
2014-08-14	438.4	436.15	436.15	435.96	
2014-08-15	438.62	434.23	434.23	436.15	
2014-08-18	445.53	436.45	445.53	434.23	
2014-08-19	448.6	443.55	448.6	445.53	
2014-08-20	449.75	447.5	447.5	448.6	
2014-08-21	450.1	445.27	445.95	447.5	
2014-08-22	445.5	445.29	445.5	445.95	
2014-08-25	451.3	447.68	448.16	445.5	
2014-08-26	449.29	445.55	446.65	448.16	
2014-08-27	448.5	443.5	444.4	446.65	
2014-08-28	442.05	439.73	442.05	444.4	
2014-08-29	443.46	439.15	442.54	442.05	
2014-09-01	445.87	445.23	445.75	442.54	
2014-09-02	449.23	443.35	449.23	445.75	
2014-09-03	451.35	449.31	449.31	449.23	
2014-09-04	460.64	447.56	458.5	449.31	
2014-09-05	461.05	457.2	461.05	458.5	
2014-09-08	465.55	461.6	465.24	461.05	
2014-09-09	469.83	456.5	456.5	465.24	
